Roll 1: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 298: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 299: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 300: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 301: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 302: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 303: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 304: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 305: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 306: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 307: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 308: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 309: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 310: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 311: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 312: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 313: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 314: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 315: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 316: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 317: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 318: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 319: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 320: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 321: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 322: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 323: (+7/9) 2 × T1 | R%: 9.26% (1 in 10.799) | 17.1 ★ [+12.6]
Roll 324: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 325: 1 × T6 | R%: 0.229% (1 in 437.344) | 1835.77 ★
Roll 326: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 327: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 328: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 329: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 330: (+4/6) 2 × T1 | R%: 9.26% (1 in 10.799) | 11.7 ★ [+7.2]
Roll 331: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 332: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 333: (+8/10) 2 × T1 | R%: 9.26% (1 in 10.799) | 18.9 ★ [+14.4]
Roll 334: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 335: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 336: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 337: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 338: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 339: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 340: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 341: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 342: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 343: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 344: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 345: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 346: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 347: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 348: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 349: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 350: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 351: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 352: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 353: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 354: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 355: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 356: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 357: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 358: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 359: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 360: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 361: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 362: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 363: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 364: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 365: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 366: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 367: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 368: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 369: 1 × T7 | R%: 0.076% (1 in 1.31×10^3) | 6431.43 ★
Roll 370: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 371: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 372: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 373: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 374: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 375: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 376: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 377: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 378: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 379: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 380: 3 × T1 | R%: 1.543% (1 in 64.792) | 8.0 ★
Roll 381: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 382: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 383: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 384: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 385: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 386: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 387: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 388: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 389: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 390: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 391: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 392: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 393: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 394: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 395: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 396: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 397: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 398: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 399: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 400: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 401: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 402: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 403: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 404: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 405: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 406: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 407: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 408: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 409: (+3/6) 3 × T1 | R%: 1.543% (1 in 64.792) | 17.6 ★ [+9.6]
Roll 410: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 411: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 412: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 413: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 414: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 415: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 416: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 417: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 418: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 419: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 420: (+3/4) 1 × T2 | R%: 18.521% (1 in 5.399) | 21.45 ★ [+11.7]
Roll 421: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 422: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 423: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 424: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 425: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 426: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 427: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 428: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 429: (+1/3) 2 × T2 | R%: 3.087% (1 in 32.396) | 30.8 ★ [+8.8]
Roll 430: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 431: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 432: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 433: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 434: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 435: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 436: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 437: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 438: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 439: (+2/5) 3 × T1 | R%: 1.543% (1 in 64.792) | 14.4 ★ [+6.4]
Roll 440: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 441: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 442: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 443: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 444: 1 × T6 | R%: 0.229% (1 in 437.344) | 1835.77 ★
Roll 445: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 446: 3 × T4 | R%: 0.057% (1 in 1.75×10^3) | 447.68 ★
Roll 447: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 448: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 449: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 450: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 451: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 452: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 453: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 454: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 455: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 456: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 457: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 458: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 459: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 460: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 461: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 462: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 463: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 464: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 465: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 466: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 467: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 468: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 469: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 470: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 471: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 472: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 473: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 474: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 475: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 476: (+4/6) 2 × T1 | R%: 9.26% (1 in 10.799) | 11.7 ★ [+7.2]
Roll 477: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 478: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 479: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 480: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 481: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 482: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 483: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 484: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 485: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 486: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 487: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 488: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 489: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 490: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 491: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 492: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 493: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 494: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 495: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 496: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 497: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 498: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 499: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 500: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 501: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 502: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 503: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 504: 1 × T7 | R%: 0.076% (1 in 1.31×10^3) | 6431.43 ★
Roll 505: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 506: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 507: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 508: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 509: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 510: 3 × T4 | R%: 0.057% (1 in 1.75×10^3) | 447.68 ★
Roll 511: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 512: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 513: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 514: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 515: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 516: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 517: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 518: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 519: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 520: (+1/3) 2 × T3 | R%: 1.029% (1 in 97.187) | 116.56 ★ [+33.3]
Roll 521: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 522: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 523: 4 × T1 | R%: 0.257% (1 in 388.75) | 11.5 ★
Roll 524: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 525: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 526: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 527: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 528: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 529: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 530: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 531: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 532: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 533: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 534: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 535: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 536: (+10/12) 2 × T1 | R%: 9.26% (1 in 10.799) | 22.5 ★ [+18.0]
Roll 537: (+12/13) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.8 ★ [+4.8]
Roll 538: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 539: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 540: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 541: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 542: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 543: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 544: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 545: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 546: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 547: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 548: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 549: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 550: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 551: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 552: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 553: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 554: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 555: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 556: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 557: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 558: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 559: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 560: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 561: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 562: (+4/6) 2 × T1 | R%: 9.26% (1 in 10.799) | 11.7 ★ [+7.2]
Roll 563: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 564: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 565: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 566: 3 × T2 | R%: 0.514% (1 in 194.375) | 34.25 ★
Roll 567: (+3/4) 1 × T2 | R%: 18.521% (1 in 5.399) | 21.45 ★ [+11.7]
Roll 568: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 569: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 570: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 571: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 572: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 573: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 574: (+5/7) 2 × T1 | R%: 9.26% (1 in 10.799) | 13.5 ★ [+9.0]
Roll 575: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 576: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 577: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 578: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 579: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 580: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 581: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 582: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 583: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 584: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 585: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 586: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 587: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 588: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 589: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 590: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 591: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 592: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 593: 3 × T2 | R%: 0.514% (1 in 194.375) | 34.25 ★
Roll 594: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 595: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
